Coenti;Noenti;Cogrupo;Nogrupo
02771     ;SUDASEG SEGURADORA DE DANOS E PESSOAS S.A. ;     ;
02798     ;AKAD SEGUROS S.A.;     ;
02801     ;UNIÃO SEGURADORA S.A. - VIDA E PREVIDÊNCIA ;     ;
02852     ;AXA SEGUROS S.A.;     ;
02879     ;COMPREV SEGURADORA S.A.;     ;
02895     ;ALFA PREVIDÊNCIA E VIDA S.A.;     ;
02925     ;VOLTS SEGURADORA S.A.;     ;
02933     ;CARDIF DO BRASIL SEGUROS E GARANTIAS S.A.;     ;
02950     ;SANCOR SEGUROS DO BRASIL S.A.;     ;
02968     ;GAZIN SEGUROS S.A.;     ;
03034     ;ECC DO BRASIL PARTICIPAÇÕES S.A. (ATUAL DENOMINAÇÃO DE ECC DO BRASIL CIA DE SEGUROS);     ;
03069     ;POTTENCIAL SEGURADORA S.A.;     ;
03093     ;CONSÓRCIO DO SEGURO DPVAT;     ;
03123     ;VERBIN SEGUROS S/A;     ;
03140     ;PREVIMIL VIDA E PREVIDÊNCIA S.A.;     ;
03166     ;METLIFE VIDA E PREVIDÊNCIA S.A.   ;     ;
03182     ;ITAU SEGUROS DE AUTO E RESIDÊNCIA S.A.;     ;
03221     ;ANDRINA SOCIEDADE SEGURADORA DE PROPOSITO ESPECIFICO S.A;     ;
03263     ;PIER SEGURADORA S.A.;     ;
03271     ;SEGURADORA LÍDER DO CONSÓRCIO DO SEGURO DPVAT S.A.;     ;
03298     ;MAPFRE PREVIDÊNCIA S.A.;     ;
03301     ;HERVAL SEGURADORA S.A. ;     ;
03328     ;COFACE DO BRASIL SEGUROS DE CRÉDITO S/A;     ;
03387     ;ANGELUS SEGUROS S.A.;     ;
03417     ;BMG SEGURADORA S.A.;     ;
03476     ;XS3 SEGUROS S.A.;     ;
03531     ;ZEMA SEGUROS S.A. ;     ;
03603     ;SIMPLE2U SEGUROS S.A.;     ;
03638     ;SKY SEGURADORA S.A. - MICROSSEGURADORA;     ;
03646     ;EZZE SEGUROS S.A.;     ;
03654     ;SICOOB SEGURADORA DE VIDA E PREVIDÊNCIA S.A.;     ;
03671     ;USEBENS SEGUROS S.A.;     ;
03727     ;FAIRWAY SEGUROS S.A. ;     ;
03786     ;ARCA SEGURADORA S.A;     ;
03794     ;BS2 SEGUROS S.A.;     ;
03816     ;REAL SEGUROS VIDA E PREVIDÊNCIA S.A. (ATUAL DENOMINAÇÃO DE REAL TOKIO MARINE VIDA E PREVIDÊNCIA S.A.);     ;
03956     ;FAM SEGURADORA DE CRÉDITO E GARANTIA S.A.;     ;
03964     ;LIBERTY MUTUAL SURETY BRASIL SEGUROS S.A. ;     ;
04031     ;XP VIDA E PREVIDÊNCIA S.A.;     ;
04111     ;JNS SEGURADORA S.A.;     ;
04120     ;88I SEGURADORA DIGITAL S.A.;     ;
04189     ;PO SEGURADORA S.A.;     ;
04227     ;STG SEGUROS S.A.;     ;
04251     ;CAPEMISA SEGURADORA DE VIDA E PREVIDÊNCIA S/A;     ;
04359     ;EULER HERMES SEGUROS S.A.;     ;
04367     ;PRUDENTIAL DO BRASIL SEGUROS S.A.;     ;
04383     ;180 SEGUROS S.A.;     ;
04421     ;XS2 VIDA E PREVIDÊNCIA S.A.;     ;
04481     ;DASSEG SEGUROS S.A.;     ;
04537     ;DARWIN SEGUROS S.A.;     ;
04561     ;BRASILPREV NOSSO FUTURO SEGUROS E PREVICÊNCIA S.A. (ATUAL DENOMINAÇÃO DE MAPFRE NOSSA CAIXA VIDA E PREVIDÊNCIA S.A.);     ;
04570     ;IZA SEGURADORA S.A.;     ;
04600     ;BVIX SEGURADORA SA;     ;
04618     ;ITAÚ UNIBANCO SEGUROS CORPORATIVOS S.A. (INATIVA);     ;
04634     ;PATER SEGUROS S.A.;     ;
04669     ;FAIRFAX BRASIL SEGUROS CORPORATIVOS S.A;     ;
06076     ;MUNDIAL SEGURADORA S/A;     ;
06084     ;MBM SEGURADORA S.A.;     ;
06092     ;NOVO HAMBURGO CIA. DE SEGUROS GERAIS;     ;
06106     ;KIRTON SEGUROS S.A.;     ;
06114     ;ITATIAIA SEGUROS S/A;     ;
06122     ;FATOR SEGURADORA S/A ;     ;
06149     ;TREVO S/A SEGUROS E PREVIDÊNCIA PRIVADA;     ;
06157     ;ZURICH BRASIL VIDA E PREVIDÊNCIA S.A.;     ;
06165     ;SEGURADORA MINEIRA S.A.;     ;
06181     ;BRASILVEÍCULOS COMPANHIA DE SEGUROS;     ;
06190     ;TOKIO MARINE SEGURADORA S.A. ;     ;
06203     ;ZURICH BRASIL SEGUROS S.A.;     ;
06211     ;ALIANÇA DO BRASIL SEGUROS S.A;     ;
06220     ;SUL AMÉRICA SEGUROS DE PESSOAS E PREVIDÊNCIA S.A.;     ;
06238     ;MAPFRE SEGUROS GERAIS S.A.;     ;
06246     ;SUL AMÉRICA AETNA SEGUROS E PREVIDÊNCIA S/A;     ;
06271     ;SUDAMERIS VIDA E PREVIDÊNCIA S/A  ;     ;
06289     ;AUREA SEGURADORA;     ;
06297     ;AIG LIFE COMPANHIA DE SEGUROS ;     ;
06301     ;RIO GRANDE SEGUROS E PREVIDÊNCIA S.A.;     ;
06319     ;COMPANHIA REAL DE SEGUROS;     ;
06335     ;SEGURADORA BRASILEIRA DE CRÉDITO À EXPORTAÇÃO S.A.;     ;
06343     ;SOL DE SEGUROS S.A;     ;
06351     ;METROPOLITAN LIFE SEGUROS E PREVIDÊNCIA ;     ;
06360     ;KYOEI DO BRASIL COMPANHIA DE SEGUROS;     ;
06378     ;VIDA SEGURADORA S.A.;     ;
06386     ;ATLANTICA SEGUROS S/A;     ;
06394     ;ITAUPREV VIDA E PREVIDÊNCIA S/A ;     ;
06408     ;CIGNA COMPANHIA DE SEGUROS;     ;
06416     ;YASUDA SEGUROS S.A.;     ;
06432     ;NATIONALE NEDERLANDEN LEVENSVERZEKERING;     ;
06441     ;SAFRA SEGURADORA S.A.;     ;
06459     ;CIA DE SEGUROS TRANQUILIDADE- BRASIL;     ;
06467     ;ALFA SEGURADORA S.A.;     ;
06475     ;SUL AMERICA AETNA CIA.NACIONAL DE SEGUROS E  PREVIDÊNCIA;     ;
06483     ;XL INSURANCE (BRAZIL) SEGURADORA S/A;     ;
06491     ;ALVORADA VIDA S.A.;     ;
06505     ;BRASLUZITANA;     ;
06513     ;CHUBB SEGUROS BRASIL S.A.;     ;
06530     ;VIRGINIA SURETY COMPANHIA DE SEGUROS DO BRASIL ;     ;
06548     ;CARDIF DO BRASIL VIDA E PREVIDÊNCIA S/A;     ;
06556     ;SUL AMERICA SEGUROS GERAIS S/A;     ;
06564     ;ZURICH SANTANDER BRASIL SEGUROS S.A.;     ;
06572     ;HDI SEGUROS S.A.;     ;
06602     ;MITSUI SUMITOMO SEGUROS S.A.;     ;
06611     ;BEMGE SEGURADORA S/A;     ;
06637     ;INTER-CONTINENTAL SEGURADORA S/A;     ;
06645     ;CIA REAL BRASILEIRA DE SEGUROS          ;     ;
06653     ;TOO SEGUROS S.A.;     ;
06661     ;NOVA YORK CIA DE SEGUROS;     ;
06670     ;VISCONDE DE ITABORAÍ COMPANHIA DE SEGUROS GERAIS;     ;
06688     ;COMPANHIA DE SEGUROS DO ESTADO DE SÃO PAULO - COSESP;     ;
06696     ;AXA XL SEGUROS S.A.;     ;
